[14:15:35.160] [INFO   ] thread main starting.
[14:15:35.166] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:15:35.168] [SEVERE ] configuration file was loaded from resources directory.
[14:15:35.649] [INFO   ] thread dealer starting.
[14:15:35.651] [INFO   ] thread dealer starting.
[14:15:35.652] [INFO   ] thread playerID: 1 starting.
[14:15:35.651] [INFO   ] thread playerID: 0 starting.
[14:15:35.661] [SEVERE ] updating countdown to 60000
[14:15:35.775] [SEVERE ] placing card 69 in slot 6
[14:15:36.108] [SEVERE ] placing card 54 in slot 7
[14:15:36.211] [SEVERE ] placing card 0 in slot 9
[14:15:36.314] [SEVERE ] placing card 71 in slot 2
[14:15:36.416] [SEVERE ] placing card 29 in slot 8
[14:15:36.517] [SEVERE ] placing card 66 in slot 0
[14:15:36.620] [SEVERE ] placing card 48 in slot 10
[14:15:36.721] [SEVERE ] placing card 79 in slot 4
[14:15:36.823] [SEVERE ] placing card 7 in slot 11
[14:15:36.925] [SEVERE ] placing card 67 in slot 3
[14:15:37.027] [SEVERE ] placing card 59 in slot 5
[14:15:37.128] [SEVERE ] placing card 28 in slot 1
[14:15:37.153] [SEVERE ] updating countdown to 60000
[14:15:37.178] [SEVERE ] updating countdown to 60000
[14:15:37.202] [SEVERE ] updating countdown to 60000
[14:15:37.232] [SEVERE ] updating countdown to 60000
[14:15:37.255] [SEVERE ] updating countdown to 60000
[14:15:37.276] [SEVERE ] updating countdown to 60000
[14:15:37.300] [SEVERE ] updating countdown to 60000
[14:15:37.323] [SEVERE ] updating countdown to 60000
[14:15:37.345] [SEVERE ] updating countdown to 60000
[14:15:37.368] [SEVERE ] updating countdown to 60000
[14:15:37.390] [SEVERE ] updating countdown to 60000
[14:15:37.413] [SEVERE ] updating countdown to 60000
[14:15:37.436] [SEVERE ] updating countdown to 60000
[14:15:37.463] [SEVERE ] updating countdown to 60000
[14:15:37.486] [SEVERE ] updating countdown to 60000
[14:15:37.513] [SEVERE ] updating countdown to 60000
[14:15:37.538] [SEVERE ] updating countdown to 60000
[14:15:37.562] [SEVERE ] updating countdown to 60000
[14:15:37.586] [SEVERE ] updating countdown to 60000
[14:15:37.609] [SEVERE ] updating countdown to 60000
[14:15:37.639] [SEVERE ] updating countdown to 60000
[14:15:37.663] [SEVERE ] updating countdown to 60000
[14:15:37.684] [SEVERE ] updating countdown to 60000
[14:15:37.710] [SEVERE ] updating countdown to 60000
[14:15:37.738] [SEVERE ] updating countdown to 60000
[14:15:37.761] [SEVERE ] updating countdown to 60000
[14:15:37.787] [SEVERE ] updating countdown to 60000
[14:15:37.814] [SEVERE ] updating countdown to 60000
[14:15:37.835] [SEVERE ] updating countdown to 60000
[14:15:37.857] [SEVERE ] updating countdown to 60000
[14:15:37.881] [SEVERE ] updating countdown to 60000
[14:15:37.903] [SEVERE ] updating countdown to 60000
[14:15:37.928] [SEVERE ] updating countdown to 60000
[14:15:37.950] [SEVERE ] updating countdown to 60000
[14:15:37.972] [SEVERE ] updating countdown to 60000
[14:15:37.995] [SEVERE ] updating countdown to 60000
[14:15:38.017] [SEVERE ] updating countdown to 60000
[14:15:38.040] [SEVERE ] updating countdown to 60000
[14:15:38.061] [SEVERE ] updating countdown to 60000
[14:15:38.082] [SEVERE ] updating countdown to 60000
[14:15:38.104] [SEVERE ] updating countdown to 60000
[14:15:38.126] [SEVERE ] updating countdown to 60000
[14:15:38.147] [SEVERE ] updating countdown to 60000
[14:15:38.168] [SEVERE ] updating countdown to 60000
[14:15:38.192] [SEVERE ] updating countdown to 60000
[14:15:38.216] [SEVERE ] updating countdown to 60000
[14:15:38.238] [SEVERE ] updating countdown to 60000
[14:15:38.262] [SEVERE ] updating countdown to 60000
[14:15:38.285] [SEVERE ] updating countdown to 60000
[14:15:38.308] [SEVERE ] updating countdown to 60000
[14:15:38.329] [SEVERE ] updating countdown to 60000
[14:15:38.351] [SEVERE ] updating countdown to 60000
[14:15:38.373] [SEVERE ] updating countdown to 60000
[14:15:38.396] [SEVERE ] updating countdown to 60000
[14:15:38.418] [SEVERE ] updating countdown to 60000
[14:15:38.441] [SEVERE ] updating countdown to 60000
[14:15:38.466] [SEVERE ] updating countdown to 60000
[14:15:38.488] [SEVERE ] updating countdown to 60000
[14:15:38.511] [SEVERE ] updating countdown to 60000
[14:15:38.532] [SEVERE ] updating countdown to 60000
[14:15:38.553] [SEVERE ] updating countdown to 60000
[14:15:38.575] [SEVERE ] updating countdown to 60000
[14:15:38.598] [SEVERE ] updating countdown to 60000
[14:15:38.620] [SEVERE ] updating countdown to 60000
[14:15:38.648] [SEVERE ] updating countdown to 60000
[14:15:38.680] [SEVERE ] updating countdown to 60000
[14:15:38.705] [SEVERE ] updating countdown to 60000
[14:15:38.737] [SEVERE ] updating countdown to 60000
[14:15:38.761] [SEVERE ] updating countdown to 60000
[14:15:38.782] [SEVERE ] updating countdown to 60000
[14:15:38.804] [SEVERE ] updating countdown to 60000
[14:15:38.826] [SEVERE ] updating countdown to 60000
[14:15:38.848] [SEVERE ] updating countdown to 60000
[14:15:38.869] [SEVERE ] updating countdown to 60000
[14:15:38.891] [SEVERE ] updating countdown to 60000
[14:15:38.912] [SEVERE ] updating countdown to 60000
[14:15:38.933] [SEVERE ] updating countdown to 60000
