[13:02:38.340] [INFO   ] thread main starting.
[13:02:38.345] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:02:38.347] [SEVERE ] configuration file was loaded from resources directory.
[13:02:38.647] [INFO   ] thread dealer starting.
[13:02:38.648] [INFO   ] thread playerID: 0 starting.
[13:02:38.648] [INFO   ] thread dealer starting.
[13:02:38.648] [INFO   ] thread playerID: 1 starting.
[13:02:38.651] [SEVERE ] updating countdown to 60000
[13:02:38.757] [SEVERE ] placing card 34 in slot 10
[13:02:38.858] [SEVERE ] placing card 0 in slot 2
[13:02:38.959] [SEVERE ] placing card 53 in slot 4
[13:02:39.061] [SEVERE ] placing card 59 in slot 7
[13:02:39.164] [SEVERE ] placing card 17 in slot 11
[13:02:39.266] [SEVERE ] placing card 44 in slot 8
[13:02:39.370] [SEVERE ] placing card 78 in slot 9
[13:02:39.474] [SEVERE ] placing card 74 in slot 3
[13:02:39.576] [SEVERE ] placing card 41 in slot 6
[13:02:39.679] [SEVERE ] placing card 68 in slot 0
[13:02:39.785] [SEVERE ] placing card 5 in slot 5
[13:02:39.887] [SEVERE ] placing card 75 in slot 1
[13:02:39.909] [SEVERE ] updating countdown to 58742
[13:02:39.935] [SEVERE ] updating countdown to 58716
[13:02:39.957] [SEVERE ] updating countdown to 58694
[13:02:39.979] [SEVERE ] updating countdown to 58672
[13:02:40.004] [SEVERE ] updating countdown to 58647
[13:02:40.027] [SEVERE ] updating countdown to 58624
[13:02:40.048] [SEVERE ] updating countdown to 58603
[13:02:40.070] [SEVERE ] updating countdown to 58581
[13:02:40.092] [SEVERE ] updating countdown to 58559
[13:02:40.113] [SEVERE ] updating countdown to 58538
[13:02:40.138] [SEVERE ] updating countdown to 58514
[13:02:40.163] [SEVERE ] updating countdown to 58488
[13:02:40.186] [SEVERE ] updating countdown to 58465
[13:02:40.208] [SEVERE ] updating countdown to 58443
[13:02:40.234] [SEVERE ] updating countdown to 58417
[13:02:40.255] [SEVERE ] updating countdown to 58396
[13:02:40.280] [SEVERE ] updating countdown to 58371
[13:02:40.301] [SEVERE ] updating countdown to 58350
[13:02:40.324] [SEVERE ] updating countdown to 58327
[13:02:40.345] [SEVERE ] updating countdown to 58306
[13:02:40.366] [SEVERE ] updating countdown to 58285
[13:02:40.387] [SEVERE ] updating countdown to 58264
[13:02:40.408] [SEVERE ] updating countdown to 58243
[13:02:40.429] [SEVERE ] updating countdown to 58222
[13:02:40.450] [SEVERE ] updating countdown to 58201
[13:02:40.471] [SEVERE ] updating countdown to 58180
[13:02:40.497] [SEVERE ] updating countdown to 58154
[13:02:40.518] [SEVERE ] updating countdown to 58133
[13:02:40.540] [SEVERE ] updating countdown to 58111
[13:02:40.561] [SEVERE ] updating countdown to 58090
[13:02:40.583] [SEVERE ] updating countdown to 58068
[13:02:40.605] [SEVERE ] updating countdown to 58046
[13:02:40.626] [SEVERE ] updating countdown to 58025
[13:02:40.649] [SEVERE ] updating countdown to 58002
[13:02:40.671] [SEVERE ] updating countdown to 57980
[13:02:40.692] [SEVERE ] updating countdown to 57959
[13:02:40.718] [SEVERE ] updating countdown to 57933
[13:02:40.744] [SEVERE ] updating countdown to 57907
[13:02:40.769] [SEVERE ] updating countdown to 57882
[13:02:40.795] [SEVERE ] updating countdown to 57856
[13:02:40.820] [SEVERE ] updating countdown to 57831
[13:02:40.842] [SEVERE ] updating countdown to 57809
[13:02:40.863] [SEVERE ] updating countdown to 57788
